k,hits,precision@k,recall@k,method
100,2,0.02,0.016,A_bagging_pu
500,10,0.02,0.08,A_bagging_pu
1000,27,0.027,0.216,A_bagging_pu
2000,52,0.026,0.416,A_bagging_pu
3000,63,0.021,0.504,A_bagging_pu
5000,83,0.0166,0.664,A_bagging_pu
100,1,0.01,0.008,B_prior_corrected
500,9,0.018,0.072,B_prior_corrected
1000,28,0.028,0.224,B_prior_corrected
2000,51,0.0255,0.408,B_prior_corrected
3000,63,0.021,0.504,B_prior_corrected
5000,84,0.0168,0.672,B_prior_corrected
100,1,0.01,0.008,C_two_step
500,3,0.006,0.024,C_two_step
1000,13,0.013,0.104,C_two_step
2000,24,0.012,0.192,C_two_step
3000,35,0.011666666666666667,0.28,C_two_step
5000,59,0.0118,0.472,C_two_step
100,1,0.01,0.008,D_ensemble
500,6,0.012,0.048,D_ensemble
1000,18,0.018,0.144,D_ensemble
2000,40,0.02,0.32,D_ensemble
3000,59,0.019666666666666666,0.472,D_ensemble
5000,82,0.0164,0.656,D_ensemble
100,1,0.01,0.008,E_calibrated
500,7,0.014,0.056,E_calibrated
1000,19,0.019,0.152,E_calibrated
2000,46,0.023,0.368,E_calibrated
3000,59,0.019666666666666666,0.472,E_calibrated
5000,82,0.0164,0.656,E_calibrated
